,event name,Classification,genre,venue,Date,Zip code,City,State
444,National Finals Rodeo,Sports,Miscellaneous,Thomas & Mack Center,2018-12-10,89154,Las Vegas,Nevada
445,St. Louis Blues at Vegas Golden Knights,Sports,Miscellaneous,T-Mobile Arena,2018-11-16,89158,Las Vegas,Nevada
446,Magic Mike Live,Arts & Theatre,Miscellaneous Theatre,Club Domina at the Hard Rock Hotel & Casino,2018-10-05,89169,Las Vegas,Nevada
447,Reba McEntire,Music,Country,Caesars Palace,2018-08-15,89109,Las Vegas,Nevada
448,Reba McEntire w/ Brooks and Dunn,Music,Country,Caesars Palace,2018-08-17,89109,Las Vegas,Nevada
449,Reba McEntire w/ Brooks and Dunn,Music,Country,Caesars Palace,2018-08-18,89109,Las Vegas,Nevada
450,Reba McEntire,Music,Country,Caesars Palace,2018-08-22,89109,Las Vegas,Nevada
451,Reba McEntire w/ Brooks and Dunn,Music,Country,Caesars Palace,2018-08-24,89109,Las Vegas,Nevada
452,Reba McEntire,Music,Country,Caesars Palace,2018-08-25,89109,Las Vegas,Nevada
453,Reba McEntire,Music,Country,The Colosseum at Caesars Palace Las Vegas,2018-08-25,89109,Las Vegas,Nevada
454,2018 Las Vegas Classic,Sports,Basketball,Orleans Arena,2018-12-22,89103,Las Vegas,Nevada
455,Magic Mike Live,Arts & Theatre,Miscellaneous Theatre,Club Domina at the Hard Rock Hotel & Casino,2018-09-19,89169,Las Vegas,Nevada
456,Magic Mike Live,Arts & Theatre,Miscellaneous Theatre,Club Domina at the Hard Rock Hotel & Casino,2018-08-12,89169,Las Vegas,Nevada
457,REO Speedwagon,Music,Rock,Orleans Showroom,2018-10-28,89103,Las Vegas,Nevada
458,Magic Mike Live,Arts & Theatre,Miscellaneous Theatre,Club Domina at the Hard Rock Hotel & Casino,2018-10-13,89169,Las Vegas,Nevada
459,Coheed and Cambria + Taking Back Sunday,Music,Alternative,The Joint-Hard Rock Las Vegas,2018-08-10,89109,Las Vegas,Nevada
460,Bill Maher,Arts & Theatre,Comedy,Terry Fator Theatre at Mirage Hotel and Casino,2018-10-27,89109,Las Vegas,Nevada
461,Absinthe,Arts & Theatre,Performance Art,Spiegeltent at Caesars Palace,2018-08-17,89109,Las Vegas,Nevada
462,Penn & Teller,Arts & Theatre,Comedy,Penn & Teller Theater at Rio Las Vegas,2018-09-01,89103,Las Vegas,Nevada
463,Magic Mike Live,Arts & Theatre,Miscellaneous Theatre,Club Domina at the Hard Rock Hotel & Casino,2018-09-09,89169,Las Vegas,Nevada
464,Magic Mike Live,Arts & Theatre,Miscellaneous Theatre,Club Domina at the Hard Rock Hotel & Casino,2018-10-19,89169,Las Vegas,Nevada
465,Bill Maher,Arts & Theatre,Comedy,Terry Fator Theatre at Mirage Hotel and Casino,2018-10-26,89109,Las Vegas,Nevada
466,Superfruit and Betty Who with Goldboot,Music,Pop,The Cosmopolitan of Las Vegas,2018-10-20,89109,Las Vegas,Nevada
467,Harlem Globetrotters,Sports,Miscellaneous,Thomas & Mack Center,2018-08-12,89154,Las Vegas,Nevada
468,Billy Ocean,Music,R&B,Sams Town Live,2018-10-07,89122,Las Vegas,Nevada
469,Boyz II Men,Music,R&B,Terry Fator Theatre at Mirage Hotel and Casino,2018-09-30,89109,Las Vegas,Nevada
470,Magic Mike Live,Arts & Theatre,Miscellaneous Theatre,Club Domina at the Hard Rock Hotel & Casino,2018-11-08,89169,Las Vegas,Nevada
